intensity_band,establishment_years,median_tcr,avg_tcr,median_dart,avg_dart
1. <1500,31433,3.40,6.75,1.00,4.12
2. 1500-1800,65015,3.00,4.50,1.20,2.74
3. 1800-2000 (normal),123326,2.60,3.98,1.20,2.42
4. 2000-2200,147292,2.40,3.60,1.00,2.19
5. 2200-2500 (high),64975,2.60,3.69,1.40,2.30
6. 2500-3000 (very high),20806,2.40,3.53,1.20,2.25
7. 3000+ (extreme),6268,2.00,2.98,1.00,1.92
